# PRODUCTS
# name|category|price|batch_size|batch_price|lower_bound|size|shop_id
Maize Meal|Grocery|85.0|12|918.0|10|10kg|1
Rice|Grocery|60.0|12|648.0|10|5kg|1
Sugar|Grocery|45.0|12|486.0|10|2.5kg|1
Flour|Grocery|50.0|12|540.0|10|5kg|1
Cooking Oil|Grocery|75.0|12|810.0|10|2L|1
Salt|Grocery|12.0|12|129.6|10|1kg|1
Milk Long Life|Dairy|15.0|12|162.0|10|1L|1
Bread White|Bakery|16.0|12|172.8|10|700g|1
Bread Brown|Bakery|15.0|12|162.0|10|700g|1
Eggs|Dairy|65.0|12|702.0|10|18 pack|1
Tea Bags|Grocery|32.0|12|345.6|10|100s|1
Coffee|Grocery|55.0|12|594.0|10|200g|1
Baked Beans|Canned|18.0|12|194.4|10|410g|1
Sardines|Canned|22.0|12|237.6|10|155g|1
Peanut Butter|Grocery|40.0|12|432.0|10|400g|1
Jam|Grocery|28.0|12|302.4|10|450g|1
Toilet Paper|Household|30.0|12|324.0|10|9 roll|1
Dishwashing Liquid|Household|22.0|12|237.6|10|750ml|1
Washing Powder|Household|60.0|12|648.0|10|2kg|1
Bath Soap|Toiletries|10.0|12|108.0|10|175g|1
Shampoo|Toiletries|35.0|12|378.0|10|400ml|1
Toothpaste|Toiletries|22.0|12|237.6|10|100ml|1
Matches|Household|3.0|12|32.4|10|Box|1
Candles|Household|25.0|12|270.0|10|6 pack|1
Sugar Beans|Grocery|48.0|12|518.4|10|2kg|1
Lentils|Grocery|35.0|12|378.0|10|1kg|1
Chicken Portions|Frozen|90.0|12|972.0|10|2kg|1
Frozen Chips|Frozen|35.0|12|378.0|10|1kg|1
Ice Cream|Frozen|60.0|12|648.0|10|2L|1
Soft Drink Cola|Beverage|18.0|12|194.4|10|2L|1
Soft Drink Orange|Beverage|18.0|12|194.4|10|2L|1
Juice|Beverage|20.0|12|216.0|10|1L|1
Energy Drink|Beverage|14.0|12|151.2|10|500ml|1
Biscuits Marie|Snacks|18.0|12|194.4|10|200g|1
Chips|Snacks|16.0|12|172.8|10|150g|1
Sweets|Snacks|10.0|12|108.0|10|100g|1
Chocolate|Snacks|22.0|12|237.6|10|80g|1
Instant Noodles|Grocery|6.0|12|64.8|10|70g|1
Tomato Sauce|Grocery|20.0|12|216.0|10|700ml|1
Mayonnaise|Grocery|28.0|12|302.4|10|750g|1
Peanut Snacks|Snacks|15.0|12|162.0|10|200g|1
Cereal|Grocery|45.0|12|486.0|10|500g|1
Oats|Grocery|30.0|12|324.0|10|1kg|1
Baby Diapers|Baby|120.0|12|1296.0|10|Medium|1
Baby Wipes|Baby|25.0|12|270.0|10|80s|1
Face Mask|Health|5.0|12|54.0|10|Single|1
Hand Sanitizer|Health|20.0|12|216.0|10|250ml|1
Pain Relief Tablets|Health|18.0|12|194.4|10|24 pack|1

# INVENTORY_RECORDS
# product_index|date|quantity
15|2026-01-15|78
15|2026-01-18|72
15|2026-01-19|66
16|2026-01-01|113
16|2026-01-04|106
16|2026-01-05|99
16|2026-01-08|92
16|2026-01-11|85
16|2026-01-12|78
16|2026-01-15|71
16|2026-01-18|64
16|2026-01-19|57
17|2026-01-01|112
17|2026-01-04|104
17|2026-01-05|96
17|2026-01-08|88
17|2026-01-11|80
17|2026-01-12|72
17|2026-01-15|64
17|2026-01-18|56
17|2026-01-19|48
18|2026-01-01|111
18|2026-01-04|102
18|2026-01-05|93
18|2026-01-08|84
18|2026-01-11|75
18|2026-01-12|66
18|2026-01-15|57
18|2026-01-18|48
18|2026-01-19|39
19|2026-01-01|110
19|2026-01-04|100
19|2026-01-05|90
19|2026-01-08|80
19|2026-01-11|70
19|2026-01-12|60
19|2026-01-15|50
19|2026-01-18|40
19|2026-01-19|30
20|2026-01-01|109
20|2026-01-04|98
20|2026-01-05|87
20|2026-01-08|76
20|2026-01-11|65
20|2026-01-12|54
20|2026-01-15|43
20|2026-01-18|32
20|2026-01-19|21
21|2026-01-01|115
21|2026-01-04|110
21|2026-01-05|105
21|2026-01-08|100
21|2026-01-11|95
21|2026-01-12|90
21|2026-01-15|85
21|2026-01-18|80
21|2026-01-19|75
22|2026-01-01|114
22|2026-01-04|108
22|2026-01-05|102
22|2026-01-08|96
22|2026-01-11|90
22|2026-01-12|84
22|2026-01-15|78
22|2026-01-18|72
22|2026-01-19|66
23|2026-01-01|113
23|2026-01-04|106
23|2026-01-05|99
23|2026-01-08|92
23|2026-01-11|85
23|2026-01-12|78
23|2026-01-15|71
23|2026-01-18|64
23|2026-01-19|57
24|2026-01-01|112
24|2026-01-04|104
24|2026-01-05|96
24|2026-01-08|88
24|2026-01-11|80
24|2026-01-12|72
24|2026-01-15|64
24|2026-01-18|56
24|2026-01-19|48
25|2026-01-01|111
25|2026-01-04|102
25|2026-01-05|93
25|2026-01-08|84
25|2026-01-11|75
25|2026-01-12|66
25|2026-01-15|57
25|2026-01-18|48
25|2026-01-19|39
26|2026-01-01|110
26|2026-01-04|100
26|2026-01-05|90
26|2026-01-08|80
26|2026-01-11|70
26|2026-01-12|60
26|2026-01-15|50
26|2026-01-18|40
26|2026-01-19|30
27|2026-01-01|109
27|2026-01-04|98
27|2026-01-05|87
27|2026-01-08|76
27|2026-01-11|65
27|2026-01-12|54
27|2026-01-15|43
27|2026-01-18|32
27|2026-01-19|21
28|2026-01-01|115
28|2026-01-04|110
28|2026-01-05|105
28|2026-01-08|100
28|2026-01-11|95
28|2026-01-12|90
28|2026-01-15|85
28|2026-01-18|80
28|2026-01-19|75
29|2026-01-01|114
29|2026-01-04|108
29|2026-01-05|102
29|2026-01-08|96
29|2026-01-11|90
29|2026-01-12|84
29|2026-01-15|78
29|2026-01-18|72
29|2026-01-19|66
30|2026-01-01|113
30|2026-01-04|106
30|2026-01-05|99
30|2026-01-08|92
30|2026-01-11|85
30|2026-01-12|78
30|2026-01-15|71
30|2026-01-18|64
30|2026-01-19|57
31|2026-01-01|112
31|2026-01-04|104
31|2026-01-05|96
31|2026-01-08|88
31|2026-01-11|80
31|2026-01-12|72
31|2026-01-15|64
31|2026-01-18|56
31|2026-01-19|48
32|2026-01-01|111
32|2026-01-04|102
32|2026-01-05|93
32|2026-01-08|84
32|2026-01-11|75
32|2026-01-12|66
32|2026-01-15|57
32|2026-01-18|48
32|2026-01-19|39
33|2026-01-01|110
33|2026-01-04|100
33|2026-01-05|90
33|2026-01-08|80
33|2026-01-11|70
33|2026-01-12|60
33|2026-01-15|50
33|2026-01-18|40
33|2026-01-19|30
34|2026-01-01|109
34|2026-01-04|98
34|2026-01-05|87
34|2026-01-08|76
34|2026-01-11|65
34|2026-01-12|54
34|2026-01-15|43
34|2026-01-18|32
34|2026-01-19|21
35|2026-01-01|115
35|2026-01-04|110
35|2026-01-05|105
35|2026-01-08|100
35|2026-01-11|95
35|2026-01-12|90
35|2026-01-15|85
35|2026-01-18|80
35|2026-01-19|75
36|2026-01-01|114
36|2026-01-04|108
36|2026-01-05|102
36|2026-01-08|96
36|2026-01-11|90
36|2026-01-12|84
36|2026-01-15|78
36|2026-01-18|72
36|2026-01-19|66
37|2026-01-01|113
37|2026-01-04|106
37|2026-01-05|99
37|2026-01-08|92
37|2026-01-11|85
37|2026-01-12|78
37|2026-01-15|71
37|2026-01-18|64
37|2026-01-19|57
38|2026-01-01|112
38|2026-01-04|104
38|2026-01-05|96
38|2026-01-08|88
38|2026-01-11|80
38|2026-01-12|72
38|2026-01-15|64
38|2026-01-18|56
38|2026-01-19|48
39|2026-01-01|111
39|2026-01-04|102
39|2026-01-05|93
39|2026-01-08|84
39|2026-01-11|75
39|2026-01-12|66
39|2026-01-15|57
39|2026-01-18|48
39|2026-01-19|39
40|2026-01-01|110
40|2026-01-04|100
40|2026-01-05|90
40|2026-01-08|80
40|2026-01-11|70
40|2026-01-12|60
40|2026-01-15|50
40|2026-01-18|40
40|2026-01-19|30
41|2026-01-01|109
41|2026-01-04|98
41|2026-01-05|87
41|2026-01-08|76
41|2026-01-11|65
41|2026-01-12|54
41|2026-01-15|43
41|2026-01-18|32
41|2026-01-19|21
42|2026-01-01|115
42|2026-01-04|110
42|2026-01-05|105
42|2026-01-08|100
42|2026-01-11|95
42|2026-01-12|90
42|2026-01-15|85
42|2026-01-18|80
42|2026-01-19|75
43|2026-01-01|114
43|2026-01-04|108
43|2026-01-05|102
43|2026-01-08|96
43|2026-01-11|90
43|2026-01-12|84
43|2026-01-15|78
43|2026-01-18|72
43|2026-01-19|66
44|2026-01-01|113
44|2026-01-04|106
44|2026-01-05|99
44|2026-01-08|92
44|2026-01-11|85
44|2026-01-12|78
44|2026-01-15|71
44|2026-01-18|64
44|2026-01-19|57
45|2026-01-01|112
45|2026-01-04|104
45|2026-01-05|96
45|2026-01-08|88
45|2026-01-11|80
45|2026-01-12|72
45|2026-01-15|64
45|2026-01-18|56
45|2026-01-19|48
46|2026-01-01|111
46|2026-01-04|102
46|2026-01-05|93
46|2026-01-08|84
46|2026-01-11|75
46|2026-01-12|66
46|2026-01-15|57
46|2026-01-18|48
46|2026-01-19|39
47|2026-01-01|110
47|2026-01-04|100
47|2026-01-05|90
47|2026-01-08|80
47|2026-01-11|70
47|2026-01-12|60
47|2026-01-15|50
47|2026-01-18|40
47|2026-01-19|30
48|2026-01-01|109
48|2026-01-04|98
48|2026-01-05|87
48|2026-01-08|76
48|2026-01-11|65
48|2026-01-12|54
48|2026-01-15|43
48|2026-01-18|32
48|2026-01-19|21
